"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"16 years"	39744
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"17 years"	40184
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"18 years"	40714
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"19 years"	43597
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"20 years"	43884
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"21 years"	44786
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"22 years"	46272
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"23 years"	48213
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"24 years"	49121
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"25 years"	50818
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"26 years"	53134
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"27 years"	56690
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"28 years"	58005
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"29 years"	59551
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"30 years"	59840
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"31 years"	61235
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"32 years"	60048
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"33 years"	60953
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"34 years"	60983
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"35 years"	61003
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"36 years"	60478
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"37 years"	61738
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"38 years"	61013
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"39 years"	61036
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"40 years"	59508
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"41 years"	58584
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"42 years"	58336
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"43 years"	58227
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"44 years"	57784
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"45 years"	58582
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"46 years"	59124
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"47 years"	60321
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"48 years"	62382
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"49 years"	62928
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"50 years"	64584
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"51 years"	65662
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"52 years"	65867
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"53 years"	66678
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"54 years"	66142
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"55 years"	67180
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"56 years"	64980
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"57 years"	62225
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"58 years"	60002
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"59 years"	57957
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"60 years"	56019
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"61 years"	53315
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"62 years"	51898
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"63 years"	49939
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"64 years"	47863
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"65 years"	46552
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"66 years"	45025
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"67 years"	44665
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"68 years"	42808
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"69 years"	43718
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"70 years"	42955
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"71 years"	43356
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"72 years"	42389
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"73 years"	42000
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"74 years"	39697
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"75 years"	39012
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"76 years"	37432
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"77 years"	35262
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"78 years"	32895
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"79 years"	30137
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"80 years"	28797
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"81 years"	27221
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"82 years"	25489
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"83 years"	24624
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"84 years"	23404
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"85 years"	21812
